"","region","country","indicator","input","date"
"249","Africa","Eritrea","Ratification of Optional Protocol (OPCAT)","No",NA
"250","Africa","Ethiopia","Ratification of Optional Protocol (OPCAT)","No",NA
"251","Africa","Gabon","Ratification of Optional Protocol (OPCAT)","Yes",2010
"252","Africa","Gambia","Ratification of Optional Protocol (OPCAT)","No",NA
"253","Africa","Ghana","Ratification of Optional Protocol (OPCAT)","Yes",2016
"254","Africa","Guinea","Ratification of Optional Protocol (OPCAT)","No",NA
"255","Africa","Guinea-Bissau","Ratification of Optional Protocol (OPCAT)","No",NA
"256","Africa","Kenya","Ratification of Optional Protocol (OPCAT)","No",NA
"257","Africa","Lesotho","Ratification of Optional Protocol (OPCAT)","No",NA
"258","Africa","Liberia","Ratification of Optional Protocol (OPCAT)","Yes",2004
"259","Africa","Madagascar","Ratification of Optional Protocol (OPCAT)","Yes",2017
"260","Africa","Malawi","Ratification of Optional Protocol (OPCAT)","No",NA
"261","Africa","Mali","Ratification of Optional Protocol (OPCAT)","Yes",2005
"262","Africa","Mauritania","Ratification of Optional Protocol (OPCAT)","Yes",2012
"263","Africa","Mozambique","Ratification of Optional Protocol (OPCAT)","Yes",2014
"264","Africa","Namibia","Ratification of Optional Protocol (OPCAT)","No",NA
"265","Africa","Niger","Ratification of Optional Protocol (OPCAT)","Yes",2014
"266","Africa","Nigeria","Ratification of Optional Protocol (OPCAT)","Yes",2009
"267","Africa","Rwanda","Ratification of Optional Protocol (OPCAT)","Yes",2015
"268","Africa","Sao Tome and Principe","Ratification of Optional Protocol (OPCAT)","No",NA
"269","Africa","Senegal","Ratification of Optional Protocol (OPCAT)","Yes",2006
"270","Africa","Seychelles","Ratification of Optional Protocol (OPCAT)","No",NA
"271","Africa","Sierra Leone","Ratification of Optional Protocol (OPCAT)","No",NA
"272","Africa","Somalia","Ratification of Optional Protocol (OPCAT)","No",NA
"273","Africa","South Sudan","Ratification of Optional Protocol (OPCAT)","Yes",2015
"274","Africa","Sudan","Ratification of Optional Protocol (OPCAT)","No",NA
"275","Africa","Swaziland","Ratification of Optional Protocol (OPCAT)","No",NA
"276","Africa","Uganda","Ratification of Optional Protocol (OPCAT)","No",NA
"277","Africa","United Republic of Tanzania","Ratification of Optional Protocol (OPCAT)","No",NA
"278","Africa","Zambia","Ratification of Optional Protocol (OPCAT)","No",NA
"279","Africa","Zimbabwe","Ratification of Optional Protocol (OPCAT)","No",NA
"280","Africa","Mauritius","Ratification of Optional Protocol (OPCAT)","Yes",2005
"281","Africa","South Africa","Ratification of Optional Protocol (OPCAT)","Yes",2019
"282","Africa","Togo","Ratification of Optional Protocol (OPCAT)","Yes",2010
"283","Europe","Albania","Ratification of Optional Protocol (OPCAT)","Yes",2003
"284","Europe","Andorra","Ratification of Optional Protocol (OPCAT)","No",NA
"285","Europe","Austria","Ratification of Optional Protocol (OPCAT)","Yes",2012
"286","Europe","Armenia","Ratification of Optional Protocol (OPCAT)","Yes",2006
"287","Europe","Belarus","Ratification of Optional Protocol (OPCAT)","No",NA
"288","Europe","Belgium","Ratification of Optional Protocol (OPCAT)","No",NA
"289","Europe","Bosnia and Herzegovina","Ratification of Optional Protocol (OPCAT)","Yes",2008
"290","Europe","Bulgaria","Ratification of Optional Protocol (OPCAT)","Yes",2011
